filename,filepath,original_subfolder,macro_class_index,macro_class_name,split_multiclass_3class
Escorregamento_1.wav,Base_de_Dados\Escorregamento\Escorregamento_1.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_10.wav,Base_de_Dados\Escorregamento\Escorregamento_10.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_100.wav,Base_de_Dados\Escorregamento\Escorregamento_100.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_101.wav,Base_de_Dados\Escorregamento\Escorregamento_101.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_102.wav,Base_de_Dados\Escorregamento\Escorregamento_102.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_103.wav,Base_de_Dados\Escorregamento\Escorregamento_103.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_104.wav,Base_de_Dados\Escorregamento\Escorregamento_104.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_105.wav,Base_de_Dados\Escorregamento\Escorregamento_105.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_106.wav,Base_de_Dados\Escorregamento\Escorregamento_106.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_107.wav,Base_de_Dados\Escorregamento\Escorregamento_107.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_108.wav,Base_de_Dados\Escorregamento\Escorregamento_108.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_109.wav,Base_de_Dados\Escorregamento\Escorregamento_109.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_11.wav,Base_de_Dados\Escorregamento\Escorregamento_11.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_110.wav,Base_de_Dados\Escorregamento\Escorregamento_110.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_111.wav,Base_de_Dados\Escorregamento\Escorregamento_111.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_112.wav,Base_de_Dados\Escorregamento\Escorregamento_112.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_113.wav,Base_de_Dados\Escorregamento\Escorregamento_113.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_114.wav,Base_de_Dados\Escorregamento\Escorregamento_114.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_115.wav,Base_de_Dados\Escorregamento\Escorregamento_115.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_116.wav,Base_de_Dados\Escorregamento\Escorregamento_116.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_117.wav,Base_de_Dados\Escorregamento\Escorregamento_117.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_118.wav,Base_de_Dados\Escorregamento\Escorregamento_118.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_119.wav,Base_de_Dados\Escorregamento\Escorregamento_119.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_12.wav,Base_de_Dados\Escorregamento\Escorregamento_12.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_120.wav,Base_de_Dados\Escorregamento\Escorregamento_120.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_121.wav,Base_de_Dados\Escorregamento\Escorregamento_121.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_122.wav,Base_de_Dados\Escorregamento\Escorregamento_122.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_123.wav,Base_de_Dados\Escorregamento\Escorregamento_123.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_124.wav,Base_de_Dados\Escorregamento\Escorregamento_124.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_125.wav,Base_de_Dados\Escorregamento\Escorregamento_125.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_126.wav,Base_de_Dados\Escorregamento\Escorregamento_126.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_127.wav,Base_de_Dados\Escorregamento\Escorregamento_127.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_128.wav,Base_de_Dados\Escorregamento\Escorregamento_128.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_129.wav,Base_de_Dados\Escorregamento\Escorregamento_129.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_13.wav,Base_de_Dados\Escorregamento\Escorregamento_13.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_130.wav,Base_de_Dados\Escorregamento\Escorregamento_130.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_131.wav,Base_de_Dados\Escorregamento\Escorregamento_131.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_132.wav,Base_de_Dados\Escorregamento\Escorregamento_132.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_133.wav,Base_de_Dados\Escorregamento\Escorregamento_133.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_134.wav,Base_de_Dados\Escorregamento\Escorregamento_134.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_135.wav,Base_de_Dados\Escorregamento\Escorregamento_135.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_136.wav,Base_de_Dados\Escorregamento\Escorregamento_136.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_137.wav,Base_de_Dados\Escorregamento\Escorregamento_137.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_138.wav,Base_de_Dados\Escorregamento\Escorregamento_138.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_139.wav,Base_de_Dados\Escorregamento\Escorregamento_139.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_14.wav,Base_de_Dados\Escorregamento\Escorregamento_14.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_140.wav,Base_de_Dados\Escorregamento\Escorregamento_140.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_141.wav,Base_de_Dados\Escorregamento\Escorregamento_141.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_142.wav,Base_de_Dados\Escorregamento\Escorregamento_142.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_143.wav,Base_de_Dados\Escorregamento\Escorregamento_143.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_144.wav,Base_de_Dados\Escorregamento\Escorregamento_144.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_145.wav,Base_de_Dados\Escorregamento\Escorregamento_145.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_146.wav,Base_de_Dados\Escorregamento\Escorregamento_146.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_147.wav,Base_de_Dados\Escorregamento\Escorregamento_147.wav,Escorregamento,1,Continuous_Friction_and_Wear,test
Escorregamento_148.wav,Base_de_Dados\Escorregamento\Escorregamento_148.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_149.wav,Base_de_Dados\Escorregamento\Escorregamento_149.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_15.wav,Base_de_Dados\Escorregamento\Escorregamento_15.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_150.wav,Base_de_Dados\Escorregamento\Escorregamento_150.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_151.wav,Base_de_Dados\Escorregamento\Escorregamento_151.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_152.wav,Base_de_Dados\Escorregamento\Escorregamento_152.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_153.wav,Base_de_Dados\Escorregamento\Escorregamento_153.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_154.wav,Base_de_Dados\Escorregamento\Escorregamento_154.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_155.wav,Base_de_Dados\Escorregamento\Escorregamento_155.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_156.wav,Base_de_Dados\Escorregamento\Escorregamento_156.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_157.wav,Base_de_Dados\Escorregamento\Escorregamento_157.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_158.wav,Base_de_Dados\Escorregamento\Escorregamento_158.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_159.wav,Base_de_Dados\Escorregamento\Escorregamento_159.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_16.wav,Base_de_Dados\Escorregamento\Escorregamento_16.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_160.wav,Base_de_Dados\Escorregamento\Escorregamento_160.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_161.wav,Base_de_Dados\Escorregamento\Escorregamento_161.wav,Escorregamento,1,Continuous_Friction_and_Wear,val
Escorregamento_162.wav,Base_de_Dados\Escorregamento\Escorregamento_162.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
Escorregamento_163.wav,Base_de_Dados\Escorregamento\Escorregamento_163.wav,Escorregamento,1,Continuous_Friction_and_Wear,train
